step,elapsed_sec,step_duration_ms,gpu_util,gpu_mem_used,gpu_mem_total,gpu_power_w,gpu_energy_mj,step_energy_kwh,step_carbon_gco2,cumulative_gpu_energy_kwh,cumulative_carbon_gco2,torch_cuda_allocated_mib,torch_cuda_reserved_mib,sys_mem_used,sys_mem_total,sys_cpu_percent,proc_rss,proc_vms,proc_cpu_percent,io_read,io_write
109,40.05494413897395,364.292381,88.0,17681.25,32760.0,193.763,136282.0,3.7856111111111114e-05,0.0015142444444444444,0.0021162313888888886,0.08464925555555555,5070.91455078125,16892.0,17021.00390625,515475.12890625,0.5,2218.21875,30445.0546875,99.8,,
111,40.786788050085306,364.152569,100.0,17681.25,32760.0,193.197,135961.0,3.776694444444444e-05,0.0015106777777777777,0.002153998333333333,0.08615993333333333,5070.91455078125,16892.0,17021.00390625,515475.12890625,0.5,2218.21875,30445.0546875,100.7,,
113,41.520491959527135,363.757763,91.0,17681.25,32760.0,193.07,133566.0,3.7101666666666664e-05,0.0014840666666666666,0.0021910999999999996,0.087644,5070.91455078125,16892.0,17021.00390625,515475.12890625,0.5,2218.29296875,30446.0546875,98.5,,
115,42.25315152294934,363.836604,87.0,17681.25,32760.0,193.472,149513.0,4.153138888888889e-05,0.0016612555555555557,0.0022326313888888887,0.08930525555555556,5070.91455078125,16892.0,17021.00390625,515475.12890625,0.5,2218.33203125,30446.0546875,101.0,,
117,42.984181789681315,364.122428,100.0,17681.25,32760.0,194.021,136333.0,3.787027777777778e-05,0.0015148111111111112,0.0022705016666666666,0.09082006666666667,5070.91455078125,16892.0,17021.25,515475.12890625,0.5,2218.33203125,30446.0546875,99.2,,
119,43.71974686346948,363.433117,91.0,17681.25,32760.0,193.381,133376.0,3.704888888888889e-05,0.0014819555555555556,0.0023075505555555553,0.09230202222222222,5070.91455078125,16892.0,17021.25,515475.12890625,0.5,2218.33203125,30446.0546875,101.2,,
121,44.45083495043218,363.60806,87.0,17681.25,32760.0,193.346,149858.0,4.1627222222222225e-05,0.001665088888888889,0.0023491777777777775,0.09396711111111111,5070.91455078125,16892.0,17021.25,515475.12890625,0.5,2218.45703125,30446.0546875,98.5,,
123,45.1821667496115,363.645661,100.0,17681.25,32760.0,193.658,135836.0,3.773222222222222e-05,0.0015092888888888888,0.00238691,0.0954764,5070.91455078125,16892.0,17021.25,515475.12890625,0.5,2218.50390625,30446.0546875,101.2,,
125,45.91419489122927,364.76775,89.0,17681.25,32760.0,193.537,133991.0,3.721972222222222e-05,0.001488788888888889,0.0024241297222222223,0.09696518888888889,5070.91455078125,16892.0,17021.25,515475.12890625,0.5,2218.55078125,30446.0546875,99.7,,
127,46.64544933103025,364.003226,86.0,17681.25,32760.0,193.216,150322.0,4.1756111111111114e-05,0.0016702444444444446,0.0024658858333333335,0.09863543333333333,5070.91455078125,16892.0,17021.25,515475.12890625,0.5,2218.55078125,30446.0546875,100.9,,
129,47.378155345097184,363.721572,100.0,17681.25,32760.0,193.014,135919.0,3.7755277777777776e-05,0.001510211111111111,0.0025036411111111112,0.10014564444444445,5070.91455078125,16892.0,17021.49609375,515475.12890625,0.5,2218.55078125,30446.0546875,100.0,,
131,48.110176837071776,364.110198,88.0,17681.25,32760.0,192.9,134062.0,3.7239444444444444e-05,0.0014895777777777777,0.0025408805555555557,0.10163522222222222,5070.91455078125,16892.0,17021.49609375,515475.12890625,0.5,2218.66015625,30446.0546875,99.7,,
133,48.840632524341345,363.663381,85.0,17681.25,32760.0,193.173,150944.0,4.192888888888889e-05,0.0016771555555555556,0.0025828094444444445,0.10331237777777778,5070.91455078125,16892.0,17021.49609375,515475.12890625,0.5,2218.66015625,30446.0546875,100.0,,
135,49.57135099358857,363.281434,100.0,17681.25,32760.0,193.758,134456.0,3.734888888888889e-05,0.0014939555555555555,0.002620158333333333,0.10480633333333333,5070.91455078125,16892.0,17021.48828125,515475.12890625,0.5,2218.71484375,30446.0546875,99.9,,
137,50.302359787747264,363.952616,88.0,17681.25,32760.0,193.807,135869.0,3.774138888888889e-05,0.0015096555555555555,0.002657899722222222,0.1063159888888889,5070.91455078125,16892.0,17021.48828125,515475.12890625,0.5,2218.8046875,30446.0546875,100.6,,
139,51.0373325124383,363.473027,84.0,17681.25,32760.0,193.666,151744.0,4.215111111111111e-05,0.0016860444444444446,0.002700050833333333,0.10800203333333334,5070.91455078125,16892.0,17021.48828125,515475.12890625,0.6,2218.8046875,30446.0546875,99.9,,
141,51.76866294071078,364.19376,100.0,17681.25,32760.0,193.611,133845.0,3.7179166666666665e-05,0.0014871666666666666,0.00273723,0.10948920000000001,5070.91455078125,16892.0,17021.734375,515475.12890625,0.5,2218.8984375,30446.0546875,99.8,,
143,52.4989481959492,363.136601,89.0,17681.25,32760.0,193.858,136394.0,3.788722222222222e-05,0.0015154888888888889,0.002775117222222222,0.1110046888888889,5070.91455078125,16892.0,17021.734375,515475.12890625,0.5,2218.8984375,30446.0546875,100.0,,
145,53.22943663969636,363.319915,82.0,17681.25,32760.0,193.511,149769.0,4.16025e-05,0.0016641,0.002816719722222222,0.1126687888888889,5070.91455078125,16892.0,17021.734375,515475.12890625,0.5,2218.94921875,30446.0546875,99.9,,
147,53.95993584766984,363.375336,100.0,17681.25,32760.0,193.806,134072.0,3.7242222222222225e-05,0.001489688888888889,0.0028539619444444444,0.1141584777777778,5070.91455078125,16892.0,17021.625,515475.12890625,0.5,2218.9609375,30446.0546875,100.6,,
149,54.69480374827981,363.383966,88.0,17681.25,32760.0,193.29,137291.0,3.813638888888889e-05,0.0015254555555555555,0.0028920983333333332,0.11568393333333335,5070.91455078125,16892.0,17021.625,515475.12890625,0.5,2219.04296875,30446.0546875,100.0,,
151,55.42587577551603,363.875414,81.0,17681.25,32760.0,193.11,148824.0,4.134e-05,0.0016536,0.002933438333333333,0.11733753333333335,5070.91455078125,16892.0,17021.625,515475.12890625,0.5,2219.09375,30446.0546875,99.8,,
153,56.15608061477542,363.237183,100.0,17681.25,32760.0,193.928,135201.0,3.755583333333333e-05,0.0015022333333333331,0.0029709941666666664,0.1188397666666667,5070.91455078125,16892.0,17021.8671875,515475.12890625,0.5,2219.09375,30446.0546875,100.0,,
155,56.88707991875708,363.182343,88.0,17681.25,32760.0,193.667,136688.0,3.7968888888888886e-05,0.0015187555555555554,0.0030089630555555553,0.12035852222222225,5070.91455078125,16892.0,17021.8671875,515475.12890625,0.5,2219.09375,30446.0546875,99.9,,
157,57.61663319915533,363.318465,90.0,17681.25,32760.0,193.564,149272.0,4.1464444444444445e-05,0.0016585777777777778,0.0030504275,0.12201710000000003,5070.91455078125,16892.0,17021.859375,515475.12890625,0.5,2219.1953125,30446.0546875,100.1,,
159,58.34781634807587,363.177473,100.0,17681.25,32760.0,193.833,136559.0,3.7933055555555555e-05,0.0015173222222222222,0.003088360555555555,0.12353442222222226,5070.91455078125,16892.0,17021.859375,515475.12890625,0.5,2219.2578125,30446.0546875,99.8,,
161,59.07813499122858,363.269424,89.0,17681.25,32760.0,194.088,136192.0,3.783111111111111e-05,0.0015132444444444445,0.0031261916666666663,0.1250476666666667,5070.91455078125,16892.0,17021.859375,515475.12890625,0.5,2219.2578125,30447.0546875,101.3,,
163,59.80798830464482,363.192373,92.0,17681.25,32760.0,193.548,133906.0,3.719611111111111e-05,0.0014878444444444445,0.0031633877777777772,0.12653551111111114,5070.91455078125,16892.0,17021.859375,515475.12890625,0.5,2219.2578125,30447.0546875,98.6,,
165,60.53839267231524,363.109511,97.0,17681.25,32760.0,193.588,151072.0,4.196444444444444e-05,0.0016785777777777776,0.003205352222222222,0.1282140888888889,5070.91455078125,16892.0,17022.1015625,515475.12890625,0.5,2219.38671875,30447.0546875,100.7,,
